ID,start,end,length (sec)
0,0,293.6,293.6
1,293.6,425.8,132.2
2,425.8,548.5,122.7
3,548.5,868.9,320.4
4,868.9,1220.4,351.5
5,1220.4,1615.2,394.8
6,1615.2,1827.1,211.9
7,1827.1,1895.5,68.4
8,1895.5,1932.1,36.6
9,1932.1,1946.7,14.6
10,1946.7,2448.2,501.5
11,2448.2,2639.3,191.1
12,2639.3,2709.1,69.8
13,2709.1,2947.5,238.4
14,2947.5,2964.7,17.2
15,2964.7,3246.8,282.1
16,3246.8,3250.5,3.7
17,3250.5,3252.6,2.1
18,3252.6,3382.7,130.1
19,3382.7,3389.6,6.9
20,3389.6,3395.3,5.7
21,3395.3,3752.2,356.9
22,3752.2,3829.2,77
23,3829.2,3878.6,49.4
24,3878.6,4019.8,141.2
25,4019.8,4127.6,107.8
26,4127.6,4138.6,11
27,4138.6,4185.3,46.7
28,4185.3,4198.7,13.4
29,4198.7,4257.3,58.6
30,4257.3,4484.3,227
31,4484.3,4489.3,5
32,4489.3,4542.4,53.1
33,4542.4,4548,5.6
34,4548,4639.2,91.2
35,4639.2,4651.7,12.5
36,4651.7,4655.4,3.7
37,4655.4,4838.5,183.1
38,4838.5,4884.2,45.7
39,4884.2,5161.7,277.5
40,5161.7,5174.9,13.2
41,5174.9,5316.8,141.9
42,5316.8,5349.6,32.8
43,5349.6,5354.3,4.7
44,5354.3,5382.1,27.8
45,5382.1,5387,4.9
46,5387,5429.5,42.5
47,5429.5,5445.4,15.9
48,5445.4,5502.8,57.4
49,5502.8,5532.8,30
50,5532.8,5579.1,46.3
51,5579.1,5583.7,4.6
52,5583.7,5629.5,45.8
53,5629.5,5653.9,24.4
54,5653.9,5656.3,2.4
55,5656.3,5659.7,3.4
56,5659.7,5737.7,78
